activemq,5.5.0-2
tvl-RuleServer-JBdeploy,432-13
tvl-security-2.1,83-5
tvl-ServiceGateway,109-4
tvl-ServiceGatewayConsole,66-7
tvl-session-1.0,88-8
tvl-session-2.1,50-11
tvl-SMC-Release,176-1
tvl-softvoyage,7-4
tvl-splitpay-refund-calculator,97-10
tvl-sso-service,223-3
tvl-subscription-management,140-7
tvl-sungard-milo,1.0-1
tvl-swc,47-9
tvl-test-service,1-1
tvl-tomcat,5.5.9-3
tvl-travelextras-2.2,136-3
tvl-travelextras,52-13
tvl-treeview-agent-bin,0.1-37
tvl-treeview-agent-config,0.1-369
tvl-treeview-agent-plugin,0.1-49
tvl-treeview-apache-conf,1.0-2
tvl-treeview-oncall-tool,1.0-2
tvl-treeview-server-bin,1.0-29
tvl-treeview-server-config,1.0-669
tvl-treeview-server-htdocs,1.0-10
tvl-treeview-server-tools,1.0-6
tvl-trips-ui-release3,575-7
tvl-trips-ui-js,8135-1
tvl-trips-ui-release1-js,8128-1
tvl-trips-ui-release2-js,8128-1
tvl-trips-ui-release3-js,8128-1
tvl-trips-ui-design,2756-1
tvl-tvly-best-salesservice-release,155-4
tvl-tvly-cc-mgmt-tool,16-5
tvl-TVLYCreditCard,248-3
tvl-ugc-api,105-10
tvl-ugc-solr-master-3.1.0,31-8
tvl-ugc-solr-slave-3.1.0,31-11
tvl-userservices-1.0,136-3
tvl-USS-Car-Location-Target,34-7
tvl-USS-Car-Target,93-5
tvl-USS-Hotel-Target,59-3
tvl-USS-Target,109-7
tvl-vincio,3.3.8-1
tvl-visualsciences,3.98-3
tvl-vpayment,211-4
tvl-webapp,13.1.50-1
tvl-xmlcrs,12.10.1-2
tvl-xmlcrs-elogger,11-2
tvl-DynamicRankingAutomation,80-1
tvl-Day-Hotel-Checkout,492-1
tvl-Day-Hotel-Checkout-Content,32-1
VMwareTools,8.6.5-821615

